0.3751247,Up
1.605125,Left
1.807324,Up
3.612109,Up
4.859047,Down
5.044036,Up
6.106009,Right
6.438685,Down
6.964807,Left
8.178027,Left
8.34644,Up
10.21669,Right
10.82395,Right
12.62703,Up
13.16601,Up
14.22798,Up
14.61029,Down
14.86304,Right
15.77805,Down
16.115503,Right
16.45204,Up
17.58528,Up
18.20202,Left
19.14712,Left
18.34109,Left
20.86776,Down
21.44091,Up
22.41785,Up
22.69982,Left
23.07054,Right
25.76576,Up
26.3217,Down
27.31138,Down
27.93912,Down
29.01762,Down
29.55662,Right
30.56322,Right
30.84952,Down
31.12356,Up
32.1302,Down
32.4378,Up
32.82549,Left
33.39134,Left
34.05084,Up
34.47653,Left
35.15047,Down
35.40347,Up
35.63948,Left
36.08957,Right
36.58265,Right
38.35242,Left
38.75206,Up
39.24537,Down
39.61104,Right
39.63236,Right
42.02492,Right
42.02492,Right
42.37875,Down
42.88433,Up
44.83882,Left
46.10277,Right
46.74281,Up
47.38301,Down
48.54587,Up
49.08485,Up
49.41753,Left
49.89383,Left
50.8378,Down
51.88181,Left
52.30304,Up
52.61871,Right
55.06776,Up
55.45,Right
55.92626,Right
56.49975,Right
57.37574,Down
58.38683,Left
58.71952,Up
59.14066,Down
59.81909,Up
60.42154,Right
61.65569,Up
62.40957,Down
63.13896,Up
63.77893,Right
64.95871,Right
64.68324,Right
71.3446,Up
71.69521,Left
71.88526,Up
72.994678,Up
73.38492,Down
73.63792,Right
74.54749,Down
74.86796,Right
75.18793,Up
76.3339,Up
76.94009,Left
77.88388,Left
78.11987,Left
78.94517,Down
79.2149,Right
79.58096,Down
79.85055,Right
80.25989,Right
81.0305,Right
81.75975,Up
81.88982,Down
81.97873,Right
82.58141,Right
83.0568,Up
83.44469,Right
84.35467,Up
84.44469,Right
84.35467,Up
84.50583,Right
85.1461,Up
86.1066,Up
86.4436,Down
86.69177,Right
87.79154,Left
88.02755,Up
88.29687,Right
89.32021,Right
89.91444,Up
90.99263,Left
91.34206,Up
91.71737,Down
93.16631,Down
93.43628,Up
94.05925,Left
95.07138,Left
95.07138,Right
98.35701,Up
98.35701,Down
101.6599,Left
101.6761,Right
102.2321,Right
102.2321,Left
102.8389,Right
102.8389,Left
103.3273,Left
103.3273,Right
103.9338,Right
103.9338,Left
104.4568,Right
104.4568,Left
104.9447,Down
104.9447,Up
106.1915,Right
106.4446,Down
106.697,Up
107.0508,Left
107,2993,Left
107.4002,Up
107.7203,Left
107.9438,Up
109.0055,Up
109.4222,Down
109.6795,Right
110.6059,Down
110.9264,Right
111.2464,Up
112.3705,Up
112.9984,Left
113.9422,Left
114.1778,Left
115.6605,Down
116.2343,Up
117.1894,Up
117.5095,Left
117.8853,Right
120.5471,Up
121.0988,Down
122.131,Down
122.7381,Down
123.8161,Down
124.3551,Right
125.3661,Right
125.6861,Down
125.9234,Up
126.985,Down
127.2376,Up
127.6252,Left
128.198,Left
128.8721,Up
129.2768,Left
129.9504,Down
130,2038,Up
130.439,Left
130.9108,Right
131.3827,Right
133.1306,Left
133.573,Up
134.0449,Down
134.4109,Right
134.4323,Right
136.8248,Right
137.1788,Down
137.6848,Up
139.6385,Left
140.9022,Right
141.5424,Up
142.183,Down
143.3459,Up
143.8849,Up
144.2382,Left
144.6931,Left
145.6368,Down
146.6817,Left
147.1241,Up
147.4184,Right
149.8659,Up
150.2706,Right
150.7043,Right
151.2986,Right
152.1741,Down
153.1854,Left
153.5181,Up
153.9604,Down
154.596,Up
155.2193,Right
156.4542,Up
157.2457,Down
157.9366,Up
158.5772,Right
159.7562,Down
160.4598,Right
166.1387,Up
166.4588,Left
166.6824,Up
167.7439,Up
168.1607,Down
168.4348,Right
169.3448,Down
169.6649,Right
170.0019,Up
171.1308,Up
171.7383,Left
172.6607,Left
172.9181,Left
173.7434,Down
174.0133,Right
174.4006,Down
174.649,Right
175.037,Right
175.8674,Right
176.5575,Up
176.7264,Down
176.7765,Right
177.4054,Right
177.8604,Up
178.2644,Right
179.1574,Up
179.3254,Right
179.9325,Up
180.9266,Up
181.2466,Down
181.5373,Right
182.5944,Left
182.8094,Up
183.0999,Right
184.1448,Right
184.3468,Down
184.3468,Down
184.7175,Up
185.796,Left
186.1667,Up
186.4993,Down
187.9316,Down
188.2424,Up
188.8651,Left
189.877,Right
189.877,Left
193.1465,Down
193.1465,Up
196,467,Right
196,467,Left
197.0393,Right
197.0393,Left
197.6461,Left
197.6461,Right
198.1138,Right
198.1138,,Left
198.7032,Left
198.7032,Right
199.2472,Right
199.2472,Left
199.7377,Down
199.7332,Up
201.0015,Right
201.2374,Down
201.507,Up
201.8231,Left
202.1474,Left
202.4337,Left
202.6821,Up
